Order,Name,Born,Birthplace,Died,Deathplace,Age,Race,Sex
1,Betsy Baker,1842,England (UK),1905,U.S. (NE),113.18,White,F
2,Jennie Howell,1845,England (UK),1956,U.S. (CA),111.85,White,F
3,Anne Marie Carstenson,1849,Denmark,1958,U.S. (NE),109.18,White,F
4,Nancy Ryan,1849,U.S. (IN),1958,U.S. (IN),109.12,White,F
5,Christina Karnebeek-Backs,1849,Netherlands,1959,Netherlands,110.01,White,F
6,Marie Olsen,1850,Norway,1959,Norway,109.57,White,F
7,Mary Kelly,1851,U.S. (MI),1964,U.S. (CA),113.56,White,F
8,Elizabeth Kensley,1855,England (UK),1965,England (UK),109.82,White,F
9,William Fullingim,1855,U.S. (TX),1965,U.S. (OK),110.08,White,M
10,Hannah Smith,1856,England (UK),1966,England (UK),110.01,White,F
11,John Turner,1856,England (UK),1968,England (UK),111.77,White,M
12,Johanna Booysen,1857,South Africa,1968,South Africa,111.41,White,F
13,Marie Bernatkova,1857,Czechoslovakia,1969,Czechoslovakia,111.53,White,F
14,Ada Roe,1858,England (UK),1970,England (UK),111.93,White,F
15,Josefa Salas Mateo,1860,Spain,1973,Spain,112.62,White,F
16,Alice Stevenson,1861,England (UK),1973,England (UK),112.11,White,F
17,Elizabeth Watkins,1863,N. Ireland (UK),1973,N. Ireland (UK),110.64,White,F
18,Mito Umeta,1863,Japan,1975,Japan (Kumamoto),112.18,East Asian,F
19,Niwa Kawamoto,1863,Japan,1976,Japan (Shiga),113.28,East Asian,F
20,Sophia De Muth,1866,U.S. (MO),1977,U.S. (MO),111.42,White,F
21,Marie-Virginie Duhem,1866,France,1978,France,111.73,White,F
22,Fannie Thomas,1867,U.S. (IL),1981,U.S. (CA),113.78,White,F
23,Augustine Teissier,1869,France,1981,France,112.18,White,F
24,Nellie Spencer,1869,U.S. (NH),1982,U.S. (NJ),113.22,White,F
25,Emma Wilson,1870,U.S. (MO),1983,U.S. (MO),113.42,White,F
26,Mathew Beard,1870,U.S. (VA),1985,U.S. (FL),114.61,Black,M
27,Augusta Holtz,1871,Germany,1986,U.S. (MO),115.22,White,F
28,Mary McKinney,1873,U.S. (CA),1987,U.S. (CA),113.68,White,F
29,Anna Eliza Williams,1873,England (UK),1987,Wales (UK),114.57,White,F
30,Florence Knapp,1873,U.S. (PA),1988,U.S. (PA),114.25,White,F
31,Jeanne Calment,1875,France,1997,France,122.45,White,F
32,Marie-Louise Meilleur,1880,Canada (Que),1998,Canada (ONT),117.63,White,F
33,Sarah Knauss,1880,U.S. (PA),1999,U.S. (PA),119.27,White,F
34,Eva Morris,1885,England (UK),2000,England (UK),114.99,White,F
35,Marie Bremont,1886,France,2001,France,115.12,White,F
36,Maud Farris-Luse,1887,U.S. (MI),2002,U.S. (MI),115.15,White,F
37,Grace Clawson,1887,England (UK),2002,U.S. (FL),114.53,White,F
38,Adelina Domingues,1888,Cape Verde,2002,U.S. (CA),114.5,White,F
39,Mae Harrington,1889,U.S. (NY),2002,U.S. (NY),113.94,White,F
40,Yukichi Chuganji,1889,Japan,2003,Japan (Fukuoka),114.52,East Asian,M
41,Mitoyo Kawate,1889,Japan,2003,Japan (Hiroshima),114.5,East Asian,F
42,Ramona Trinidad Iglesias-Jordan,1889,Puerto Rico,2004,Puerto Rico,114.75,White,F
43,Maria Esther de Capovilla,1889,Ecuador,2006,Ecuador,116.95,White,F
44,Elizabeth Bolden,1890,U.S. (TN),2006,U.S. (TN),116.32,Black,F
45,Emiliano Mercado Del Toro,1891,Puerto Rico,2007,Puerto Rico,115.43,Hispanic,M
46,Emma Tillman,1892,U.S. (NC),2007,U.S. (CT),114.18,Black,F
47,Yone Minagawa,1893,Japan,2007,Japan (Fukuoka),114.61,East Asian,F
48,Edna Parker,1893,U.S. (IN),2008,U.S. (IN),115.6,White,F
49,Maria de Jesus,1893,Portugal,2009,Portugal,115.31,White,F
50,Gertrude Baines,1894,U.S. (GA),2009,U.S. (CA),115.43,Black,F
51,Kama Chinen,1895,Japan,2010,Japan (Okinawa),114.98,East Asian,F
52,Eugenie Blanchard,1896,France,2010,France (St. Barts),114.72,White,F
53,Maria Gomes Valentim,1896,Brazil,2011,Brazil,114.95,White,F
54,Besse Cooper,1896,U.S. (TN),2012,U.S. (GA),116.27,White,F
55,Dina Manfredini,1896,Italy,2012,U.S. (IA),115.7,White,F
56,Jiroemon Kimura,1897,Japan,2013,Japan (Kyoto),116.15,East Asian,M
57,Misao Okawa,1898,Japan,2015,Japan (Osaka),117.07,East Asian,F
58,Gertrude Weaver,1898,U.S. (AR),2015,U.S. (AR),116.76,Multiracial,F
59,Jeralean Talley,1899,U.S. (GA),2015,U.S. (MI),116.07,Black,F
60,Susannah Mushatt Jones,1899,U.S. (AL),2016,U.S. (NY),116.85,Black,F
61,Emma Morano,1899,Italy,2017,Italy,117.38,White,F
62,Violet Brown,1900,British West Indies (now Jamaica),2017,Jamaica,117.52,Black,F
63,Nabi Tajima,1900,Japan,2018,Japan (Kagoshima),117.71,East Asian,F
64,Chiyo Miyako,1901,Japan,2018,Japan (Kanagawa),117.22,East Asian,F
65,Kane Tanaka,1903,Japan,N/A,Japan (Fukuoka),115.59,East Asian,F
